ope,1st,2nd,ans
1,-59,16,-43
1,5,56,61
1,82,-32,50
1,-28,-93,-121
1,-13,8,-5
1,-64,-73,-137
1,59,20,79
1,-3,82,79
1,-78,-90,-168
1,-94,-14,-108
1,39,-1,38
1,57,15,72
1,-62,57,-5
1,48,-35,13
1,-35,-21,-56
1,6,-24,-18
1,80,-13,67
1,72,-14,58
1,9,-11,-2
1,-55,62,7
1,-95,-54,-149
1,37,84,121
1,-91,-46,-137
1,-40,66,26
1,-55,99,44
1,-66,90,24
1,83,10,93
1,-59,97,38
1,6,19,25
1,85,-87,-2
1,-93,62,-31
1,-7,39,32
1,-5,-52,-57
1,-26,72,46
1,33,-57,-24
1,-88,-70,-158
1,99,33,132
1,-87,92,5
1,-45,27,-18
1,52,74,126
1,-50,-99,-149
1,-99,32,-67
1,-8,-95,-103
1,85,32,117
1,67,-53,14
1,-91,37,-54
1,-74,55,-19
1,-92,72,-20
1,-41,-59,-100
1,-62,5,-57
1,-61,15,-46
1,-60,-29,-89
1,-5,24,19
1,83,63,146
1,-43,-6,-49
1,-6,79,73
1,-67,7,-60
1,79,29,108
1,-17,-54,-71
1,10,-67,-57
1,-15,-52,-67
1,-4,-91,-95
1,38,43,81
1,-35,-18,-53
1,55,50,105
1,-51,100,49
1,7,-41,-34
1,-44,-38,-82
1,30,86,116
1,85,-72,13
1,-50,33,-17
1,4,-6,-2
1,19,50,69
1,-17,81,64
1,41,39,80
1,60,-10,50
1,71,-30,41
1,-56,84,28
1,34,-1,33
1,-71,-43,-114
1,-35,83,48
1,61,-15,46
1,58,91,149
1,32,-29,3
1,25,-79,-54
1,40,-5,35
1,-85,-44,-129
1,-86,49,-37
1,73,91,164
1,-2,82,80
1,45,19,64
1,14,-90,-76
1,-100,19,-81
1,-89,69,-20
1,-16,91,75
1,-52,61,9
1,-10,57,47
1,-100,-38,-138
1,-23,-49,-72
1,-3,-11,-14
1,8,0,8
1,-35,-86,-121
1,15,35,50
1,-17,9,-8
1,25,-22,3
1,77,-47,30
1,-15,16,1
1,-24,4,-20
1,4,4,8
1,90,82,172
1,-35,-91,-126
1,-36,35,-1
1,-37,100,63
1,-93,82,-11
1,93,56,149
1,26,94,120
1,-54,85,31
1,30,-34,-4
1,35,-53,-18
1,-95,90,-5
1,3,-83,-80
1,-64,-64,-128
1,-97,15,-82
1,79,-79,0
1,-13,63,50
1,98,-22,76
1,22,58,80
1,52,46,98
1,11,-72,-61
1,-53,63,10
1,4,88,92
1,33,-41,-8
1,-5,31,26
1,96,20,116
1,-55,-90,-145
1,81,22,103
1,67,99,166
1,22,-47,-25
1,18,-41,-23
1,86,29,115
1,-74,-48,-122
1,43,-31,12
1,16,99,115
1,-91,-9,-100
1,-68,36,-32
1,82,-21,61
1,88,-64,24
1,-9,-7,-16
1,3,-27,-24
1,-55,53,-2
1,53,-37,16
1,-77,-59,-136
1,7,44,51
1,64,-99,-35
1,-32,0,-32
1,31,25,56
1,70,-5,65
1,0,-97,-97
1,-58,-6,-64
1,61,17,78
1,-21,35,14
1,-87,45,-42
1,-85,-47,-132
1,10,-63,-53
1,0,96,96
1,16,-19,-3
1,-68,51,-17
1,-9,-92,-101
1,67,42,109
1,-16,-56,-72
1,50,-28,22
1,41,-91,-50
1,-88,57,-31
1,90,-32,58
1,-95,-57,-152
1,-8,81,73
1,-43,10,-33
1,-100,-32,-132
1,-25,-3,-28
1,-90,16,-74
1,17,59,76
1,-51,57,6
1,-29,33,4
1,19,-38,-19
1,-19,-93,-112
1,-11,-36,-47
1,67,73,140
1,73,30,103
1,-17,16,-1
1,-58,-66,-124
1,80,-7,73
1,82,-86,-4
1,49,36,85
1,80,-47,33
1,61,50,111
1,-1,56,55
1,62,96,158
1,-89,-29,-118
1,-50,-95,-145
1,-94,90,-4
1,97,-67,30
1,1,-20,-19
1,-55,25,-30
1,26,-23,3
1,88,23,111
1,-7,-4,-11
1,30,100,130
1,-30,-79,-109
1,-50,45,-5
1,28,-80,-52
1,-39,22,-17
1,64,93,157
1,41,-94,-53
1,-54,28,-26
1,20,44,64
1,-35,44,9
