ope,1st,2nd,ans
4,-24,-97,0.2
4,61,18,3.4
4,91,-63,-1.4
4,49,75,0.7
4,80,91,0.9
4,9,-20,-0.5
4,48,-99,-0.5
4,-54,-75,0.7
4,54,-4,-13.5
4,-49,-77,0.6
4,-29,67,-0.4
4,70,23,3.0
4,-31,72,-0.4
4,-53,-3,17.7
4,-89,83,-1.1
4,-66,-73,0.9
4,-37,95,-0.4
4,-27,-79,0.3
4,73,-2,-36.5
4,-40,-11,3.6
4,-98,-21,4.7
4,-89,15,-5.9
4,-44,8,-5.5
4,-32,41,-0.8
4,-52,-78,0.7
4,-56,-64,0.9
4,-48,-9,5.3
4,-100,-52,1.9
4,-6,51,-0.1
4,-25,-46,0.5
4,-63,32,-2.0
4,-9,29,-0.3
4,19,1,19.0
4,26,-98,-0.3
4,23,53,0.4
4,-85,9,-9.4
4,98,-45,-2.2
4,-24,-9,2.7
4,95,-73,-1.3
4,2,-5,-0.4
4,-78,53,-1.5
4,80,95,0.8
4,-91,-83,1.1
4,-23,-70,0.3
4,-68,-94,0.7
4,-80,-21,3.8
4,81,-40,-2.0
4,-68,81,-0.8
4,-55,-32,1.7
4,80,8,10.0
4,-49,-88,0.6
4,-71,-34,2.1
4,-52,66,-0.8
4,61,-9,-6.8
4,-59,-89,0.7
4,-98,-98,1.0
4,-54,-39,1.4
4,-17,62,-0.3
4,52,26,2.0
4,66,-13,-5.1
4,-76,-45,1.7
4,56,-77,-0.7
4,3,-17,-0.2
4,46,-60,-0.8
4,11,-70,-0.2
4,44,76,0.6
4,83,43,1.9
4,89,44,2.0
4,15,84,0.2
4,-1,-60,0.0
4,67,-93,-0.7
4,59,-50,-1.2
4,17,-22,-0.8
4,4,16,0.2
4,24,-42,-0.6
4,11,82,0.1
4,-2,-84,0.0
4,41,28,1.5
4,98,-95,-1.0
4,28,27,1.0
4,20,87,0.2
4,-45,20,-2.2
4,62,-14,-4.4
4,-5,-39,0.1
4,-9,-10,0.9
4,73,-73,-1.0
4,39,-10,-3.9
4,3,31,0.1
4,17,58,0.3
4,-100,12,-8.3
4,-26,-13,2.0
4,53,-99,-0.5
4,96,-62,-1.5
4,80,-80,-1.0
4,-47,29,-1.6
4,35,27,1.3
4,81,24,3.4
4,25,-13,-1.9
4,22,-71,-0.3
4,7,37,0.2
4,-75,-68,1.1
4,80,-82,-1.0
4,-26,-63,0.4
4,-100,54,-1.9
4,90,86,1.0
4,-53,45,-1.2
4,79,29,2.7
4,29,44,0.7
4,-61,-54,1.1
4,67,86,0.8
4,43,-97,-0.4
4,-66,97,-0.7
4,-46,-13,3.5
4,-73,-32,2.3
4,67,-60,-1.1
4,-59,-53,1.1
4,33,-90,-0.4
4,64,-85,-0.8
4,-48,25,-1.9
4,-86,-62,1.4
4,75,47,1.6
4,-57,-8,7.1
4,26,81,0.3
4,63,-93,-0.7
4,51,41,1.2
4,90,-79,-1.1
4,1,9,0.1
4,25,-82,-0.3
4,95,35,2.7
4,36,-31,-1.2
4,89,-63,-1.4
4,42,-98,-0.4
4,6,41,0.1
4,22,45,0.5
4,90,34,2.6
4,5,-95,-0.1
4,16,71,0.2
4,-36,-47,0.8
4,89,-46,-1.9
4,44,-15,-2.9
4,-38,18,-2.1
4,26,-43,-0.6
4,79,-2,-39.5
4,91,37,2.5
4,85,69,1.2
4,-73,-86,0.8
4,53,-68,-0.8
4,70,77,0.9
4,63,99,0.6
4,-37,-99,0.4
4,4,-64,-0.1
4,-95,-13,7.3
4,33,48,0.7
4,66,-41,-1.6
4,44,-10,-4.4
4,-7,-22,0.3
4,14,62,0.2
4,47,-66,-0.7
4,17,-72,-0.2
4,99,33,3.0
4,-31,64,-0.5
4,-54,-84,0.6
4,-50,46,-1.1
4,-84,-1,84.0
4,-48,-13,3.7
4,50,-84,-0.6
4,100,80,1.2
4,80,-99,-0.8
4,10,99,0.1
4,-29,27,-1.1
4,57,-100,-0.6
4,-1,-46,0.0
4,-36,-95,0.4
4,37,41,0.9
4,77,-92,-0.8
4,13,21,0.6
4,-16,-49,0.3
4,-81,82,-1.0
4,-66,22,-3.0
4,99,-76,-1.3
4,52,-50,-1.0
4,6,63,0.1
4,-13,-52,0.2
4,-28,-7,4.0
4,-18,-24,0.8
4,29,-69,-0.4
4,85,-21,-4.0
4,52,-96,-0.5
4,97,34,2.9
4,11,-67,-0.2
4,39,97,0.4
4,-47,86,-0.5
4,-96,-78,1.2
4,-57,-77,0.7
4,24,29,0.8
4,-62,-98,0.6
4,-56,40,-1.4
4,-46,-19,2.4
4,-36,6,-6.0
4,-27,-4,6.8
4,31,-69,-0.4
4,-17,24,-0.7
4,59,-59,-1.0
4,30,89,0.3
4,-22,51,-0.4
4,73,77,0.9
4,55,80,0.7
4,-5,26,-0.2
4,-25,-11,2.3
4,30,63,0.5
4,24,65,0.4
4,48,-39,-1.2
4,75,27,2.8
4,27,-20,-1.4
4,-66,-47,1.4
4,42,-84,-0.5
4,25,-59,-0.4
4,-59,-33,1.8
4,37,69,0.5
4,94,-69,-1.4
4,98,-54,-1.8
4,77,81,1.0
4,-19,-29,0.7
4,89,75,1.2
4,11,-78,-0.1
4,-38,-80,0.5
4,36,79,0.5
4,75,-45,-1.7
4,-37,-62,0.6
4,53,-50,-1.1
4,-19,-41,0.5
4,-71,16,-4.4
4,82,38,2.2
4,41,-13,-3.2
4,46,87,0.5
4,16,97,0.2
4,91,-15,-6.1
4,-91,97,-0.9
4,14,-34,-0.4
4,-50,18,-2.8
4,-58,12,-4.8
4,88,-51,-1.7
4,91,-79,-1.2
4,-51,53,-1.0
4,63,95,0.7
4,-36,-82,0.4
4,24,-42,-0.6
4,49,-59,-0.8
4,-82,63,-1.3
4,25,-27,-0.9
4,-96,-81,1.2
4,3,-3,-1.0
4,-34,27,-1.3
4,28,91,0.3
4,65,-9,-7.2
4,37,-77,-0.5
4,42,43,1.0
4,30,79,0.4
4,-6,-60,0.1
4,17,-67,-0.3
4,57,-62,-0.9
4,-64,74,-0.9
4,9,-31,-0.3
4,-55,58,-0.9
4,-28,-86,0.3
4,-55,50,-1.1
4,95,42,2.3
4,69,-34,-2.0
4,-1,-92,0.0
4,51,-67,-0.8
4,94,13,7.2
4,-88,-63,1.4
4,-46,94,-0.5
4,64,-97,-0.7
4,-85,65,-1.3
4,-36,92,-0.4
