ope,1st,2nd,ans
2,79,-18,97
2,2,-65,67
2,32,16,16
2,-41,44,-85
2,-77,58,-135
2,-97,27,-124
2,-68,28,-96
2,-99,-5,-94
2,-21,-79,58
2,17,-85,102
2,-57,85,-142
2,63,42,21
2,74,-10,84
2,89,-44,133
2,90,16,74
2,-75,48,-123
2,-72,-63,-9
2,-43,9,-52
2,10,-71,81
2,69,-62,131
2,-11,-31,20
2,63,52,11
2,-74,-84,10
2,23,92,-69
2,-91,-22,-69
2,-75,84,-159
2,-87,-98,11
2,-57,10,-67
2,55,-40,95
2,-97,96,-193
2,-95,-69,-26
2,-97,2,-99
2,97,-89,186
2,95,-11,106
2,57,-91,148
2,68,20,48
2,79,-72,151
2,13,-71,84
2,80,3,77
2,-95,-89,-6
2,98,-10,108
2,-41,42,-83
2,71,-35,106
2,-43,93,-136
2,-5,7,-12
2,-87,90,-177
2,7,3,4
2,77,26,51
2,32,76,-44
2,48,-86,134
2,84,23,61
2,4,-43,47
2,-4,-16,12
2,85,83,2
2,-46,14,-60
2,17,-19,36
2,97,-67,164
2,15,-87,102
2,-26,-87,61
2,-78,53,-131
2,76,31,45
2,8,-24,32
2,14,2,12
2,-79,93,-172
2,-53,96,-149
2,60,-83,143
2,48,-25,73
2,-68,5,-73
2,-34,79,-113
2,-18,-83,65
2,-78,-35,-43
2,-94,-54,-40
2,87,-19,106
2,-40,80,-120
2,97,72,25
2,19,13,6
2,38,25,13
2,86,14,72
2,-68,91,-159
2,30,73,-43
2,74,-63,137
2,-36,-13,-23
2,-5,84,-89
2,9,-68,77
2,-75,-70,-5
2,-45,65,-110
2,-64,40,-104
2,33,-79,112
2,97,80,17
2,-11,-84,73
2,20,-24,44
2,-39,-99,60
2,-89,22,-111
2,-99,72,-171
2,10,66,-56
2,9,32,-23
2,-20,30,-50
2,45,-79,124
2,-4,38,-42
2,-66,-55,-11
2,-30,-13,-17
2,61,-66,127
2,-15,20,-35
2,-65,-99,34
2,97,89,8
2,-34,13,-47
2,-78,49,-127
2,-43,32,-75
2,-81,36,-117
2,-80,86,-166
2,94,37,57
2,57,-67,124
2,79,81,-2
2,75,11,64
2,80,62,18
2,52,72,-20
2,85,-84,169
2,-85,-41,-44
2,-48,-98,50
2,8,-31,39
2,-64,-21,-43
2,65,93,-28
2,-81,-10,-71
2,1,-41,42
2,34,-54,88
2,65,17,48
2,-5,89,-94
2,-76,-88,12
2,-80,-36,-44
2,-82,-95,13
2,85,-63,148
2,1,99,-98
2,91,-85,176
2,-33,-23,-10
2,73,-86,159
2,51,-71,122
2,2,-11,13
2,59,-10,69
2,48,5,43
2,67,34,33
2,86,60,26
2,-39,-35,-4
2,69,53,16
2,-65,85,-150
2,17,-15,32
2,-26,93,-119
2,74,62,12
2,-63,100,-163
2,-33,23,-56
2,39,-10,49
2,-24,25,-49
2,35,-1,36
2,2,-94,96
2,-26,-89,63
2,-44,-40,-4
2,-31,18,-49
2,21,-47,68
2,-77,-72,-5
2,54,18,36
2,15,-76,91
2,12,-77,89
2,-44,-41,-3
2,-83,-100,17
2,-92,-94,2
2,-49,-92,43
2,11,94,-83
2,-13,-4,-9
2,-29,59,-88
2,-30,-71,41
2,30,87,-57
2,15,84,-69
2,37,-82,119
2,14,-77,91
2,-11,81,-92
2,71,34,37
2,-16,55,-71
2,26,-84,110
2,0,-59,59
2,94,68,26
2,-74,78,-152
2,-87,-68,-19
2,93,50,43
2,-2,-78,76
2,86,38,48
2,-13,25,-38
2,-22,-28,6
2,67,1,66
2,99,-34,133
2,71,60,11
2,-19,80,-99
2,-67,-86,19
2,-12,-93,81
2,-98,34,-132
2,92,89,3
2,91,-12,103
2,4,-5,9
2,-39,-99,60
2,85,-29,114
2,-38,26,-64
2,27,-88,115
2,-63,-26,-37
2,59,83,-24
2,66,-18,84
2,59,49,10
2,-44,-73,29
2,6,35,-29
2,40,-61,101
2,-49,96,-145
2,6,-34,40
2,79,-95,174
2,96,-57,153
2,-61,-82,21
2,56,53,3
2,69,75,-6
2,78,96,-18
2,-71,-61,-10
2,36,-49,85
2,-59,-17,-42
2,-88,-60,-28
2,-34,88,-122
2,-69,87,-156
2,2,31,-29
2,-11,21,-32
2,41,52,-11
2,-36,22,-58
2,-98,-7,-91
2,100,13,87
2,-16,-8,-8
2,38,-85,123
2,33,5,28
2,28,26,2
2,97,40,57
2,24,-66,90
2,-33,-72,39
2,44,-68,112
2,84,33,51
2,-13,34,-47
2,-87,-12,-75
2,-96,66,-162
2,-37,49,-86
2,-65,23,-88
2,-16,-56,40
2,-82,-48,-34
2,59,69,-10
2,-79,57,-136
2,37,-30,67
2,-13,72,-85
2,88,-6,94
2,-49,51,-100
2,-27,89,-116
2,42,-54,96
2,-66,-17,-49
2,18,90,-72
2,39,69,-30
2,94,-11,105
2,-29,10,-39
2,-11,-34,23
2,-18,21,-39
2,84,34,50
2,23,-29,52
2,-46,-97,51
2,-41,-6,-35
2,18,19,-1
2,40,36,4
2,-69,-87,18
2,-75,-1,-74
2,-54,28,-82
2,-33,4,-37
2,-68,-41,-27
2,23,-47,70
2,-52,-51,-1
2,2,42,-40
2,51,-77,128
2,-61,-17,-44
2,75,56,19
2,17,2,15
2,67,9,58
2,15,8,7
2,-47,82,-129
2,9,45,-36
2,-17,75,-92
2,38,85,-47
2,-32,-72,40
2,-15,-17,2
2,22,-89,111
2,44,99,-55
2,37,75,-38
2,76,85,-9
2,7,-60,67
2,-22,20,-42
2,31,53,-22
2,62,99,-37
2,-26,2,-28
2,63,27,36
2,-6,-10,4
2,78,-90,168
2,89,-43,132
2,-45,25,-70
2,-89,-40,-49
2,5,38,-33
2,78,20,58
2,-83,-21,-62
2,28,92,-64
2,-89,-72,-17
2,6,14,-8
2,43,-60,103
2,-12,100,-112
2,12,-61,73
2,21,40,-19
2,-99,-28,-71
2,39,46,-7
2,-57,72,-129
2,65,22,43
2,-19,13,-32
2,42,95,-53
2,92,99,-7
2,97,55,42
2,-72,-70,-2
2,9,87,-78
2,31,46,-15
2,59,-63,122
2,81,-46,127
2,0,-59,59
2,47,52,-5
2,0,94,-94
2,52,2,50
2,-68,36,-104
2,97,-34,131
2,34,-92,126
2,-23,-76,53
2,15,30,-15
2,-74,-24,-50
2,96,55,41
2,1,87,-86
2,-34,-75,41
2,2,68,-66
2,-56,-52,-4
2,-39,-89,50
2,-17,13,-30
2,-7,77,-84
2,-79,17,-96
2,86,-60,146
2,-38,80,-118
2,59,35,24
2,62,-79,141
2,-57,30,-87
2,-66,-77,11
2,-82,54,-136
2,-86,88,-174
2,-58,-36,-22
2,86,73,13
2,33,-3,36
2,-51,-94,43
2,-50,86,-136
2,49,6,43
2,59,61,-2
2,90,4,86
2,-26,-81,55
2,-86,91,-177
2,-66,11,-77
2,-67,-29,-38
2,45,-27,72
2,-58,73,-131
2,-26,-92,66
2,-59,-89,30
2,96,-46,142
2,23,87,-64
2,-59,-89,30
2,-28,84,-112
